"","x"
"1","SUR V edge foramen magnum "
"2","SUR rim of premaxilla supraorbital "
"3","SUR rim of maxilla supraorbita"
"4","SUR pterygoid "
"5","SUR pos zygo cxn "
"6","SUR periotic cap "
"7","SUR parietal squamosal suture "
"8","SUR P outline aud bulla "
"9","SUR P most edge maxilla "
"10","SUR nasal premaxilla suture "
"11","SUR lingual tooth row "
"12","SUR lateral boundary "
"13","SUR lat edge frontal "
"14","SUR L most edge maxilla "
"15","SUR edge rostrum "
"16","SUR D edge foramen magnum "
"17","SUR C parietal"
"18","SUR C occipital"
"19","SUR C nasa"
"20","SUR C line hard palat"
"21","SUR C interpariet"
"22","SUR C frontal"
"23","SUR C basisphenoid sutur"
"24","SUR A outline aud bulla "
"25","SUR A edge maxilla "
