Genus,Species,Breed Category,Pseudomys,Clade,Feeding,Guild
Hydromys ,chrysogaster,1c,,Hydromini,Carnivorous,Aquatic
Leggadina,forresti,1a,,Pseudomini,Omnivorous,Terrestrial
Leporillus,conditor,1a,,Conilurini,Herbivorus,Terrestrial
Mastacomys,fuscus,1a,4_BroadChest,Pseudomini,Herbivorus,Terrestrial
Melomys,burtoni,1b,,Uromyini,Omnivorous,Arboreal
Melomys,capensis,1b,,Uromyini,Omnivorous,Arboreal
Melomys,cervinipes,1b,,Uromyini,Omnivorous,Arboreal
Mesembriomys,gouldii,1a,,Conilurini,Frugivorous,Arboreal
Mus,musculus,3a,,Mus,Omnivorous,Terrestrial
Notomys,alexis,1a,,Pseudomini,Omnivorous,Terrestrial
Notomys,cervinus,1a,,Pseudomini,Omnivorous,Terrestrial
Notomys,fuscus,1a,,Pseudomini,Omnivorous,Terrestrial
Notomys,mitchellii,1a,,Pseudomini,Omnivorous,Terrestrial
Pogonomys,mollilpilosis,1d,,Pogonomini,Frugivorous,Arboreal
Pseudomys,australis,1a,1_FalseMice,Pseudomini,Granivorous,Terrestrial
Pseudomys,delicatulus,1a,3_DelicateMice,Pseudomini,Granivorous,Terrestrial
Pseudomys,desertor,1a,6_GrizzledMice,Pseudomini,Herbivorus,Terrestrial
Pseudomys,gracilicaudatus,1a,4_BroadChest,Pseudomini,Omnivorous,Terrestrial
Pseudomys,hermannbergensis,1a,3_DelicateMice,Pseudomini,Omnivorous,Terrestrial
Pseudomys,higginsi,1a,1_FalseMice,Pseudomini,Omnivorous,Terrestrial
Pseudomys,novaehollandiae,1a,3_DelicateMice,Pseudomini,Granivorous,Terrestrial
Pseudomys,oralis,1a,7_Misc,Pseudomini,Herbivorus,Terrestrial
Pseudomys,patrius,1a,5_PebbleMound,Pseudomini,Omnivorous,Terrestrial
Pseudomys,shortridgei,1a,6_GrizzledMice,Pseudomini,Herbivorus,Terrestrial
Rattus,fuscipes,2a,,Rattus,Omnivorous,Terrestrial
Rattus,leucopus,2a,,Rattus,Omnivorous,Terrestrial
Rattus,lutreolus,2a,,Rattus,Herbivorus,Terrestrial
Rattus,norvegicus,3a,,invRattus,Omnivorous,Terrestrial
Rattus,rattus,3a,,invRattus,Omnivorous,Terrestrial
Rattus,sordidus,2a,,Rattus,Omnivorous,Terrestrial
Rattus,tunneyi,2a,,Rattus,Omnivorous,Terrestrial
Rattus,villosissimus,2a,,Rattus,Omnivorous,Terrestrial
Uromys,caudimaculatus,1b,,Uromyini,Frugivorous,Arboreal
Xeromys,myoides,1c,,Hydromini,Carnivorous,Aquatic
Zyzomys,argurus,1a,,Pseudomini,Omnivorous,Terrestrial
