,CatNum,Genus,Species,Sex
1,C10755,Pseudomys,desertor,Male
2,C10770,Pseudomys,desertor,Male
3,C11381,Rattus,norvegicus,Female
4,C15025,Mastacomys,fuscus,Male
5,C15027,Mastacomys, fuscus,Male
6,C15034,Mastacomys,fuscus,Male
7,C15045,Notomys,mitchellii,Female
8,C157,Pseudomys,australis,Female
9,C18705,Pseudomys,shortridgei,Female
10,C19922,Pseudomys,shortridgei,Female
11,C19925,Pseudomys,shortridgei,Male
12,C19926,Pseudomys,shortridgei,Male
13,C20261,Rattus,norvegicus,Female
14,C22111,Pseudomys,shortridgei,Male
15,C22118,Pseudomys,shortridgei,Female
16,C25854,Mastacomys, fuscus,Male
17,C29709,Rattus,norvegicus,Male
18,C31802,Mastacomys, fuscus,Female
19,C31804,Mastacomys, fuscus,Female
20,C31805,Mastacomys, fuscus,Female
21,C33155,Rattus,norvegicus,Male
22,C36848,Notomys,alexis,Male
23,C36854,Notomys,alexis,Female
24,C36860,Pseudomys,desertor,Female
25,C36861,Pseudomys,desertor,Female
26,C36870,Pseudomys,desertor,Male
27,C36878,Pseudomys,desertor,Female
28,C36879,Pseudomys,desertor,Male
29,C36885,Notomys,alexis,Male
30,C36886,Notomys,alexis,Male
31,C36892,Notomys,alexis,Male
32,C37144,Pseudomys,shortridgei,Male
33,C37172,Pseudomys,shortridgei,Male
34,C4607,Notomys,alexis,Female
35,C4883,Pseudomys,australis,Unknown
36,C4884,Pseudomys,australis,Unknown
37,C4884,Pseudomys,australis,Unknown
38,C4886,Pseudomys,australis,Male
39,C6982,Uromys,caudimaculatus,Female
40,C6983,Uromys,caudimaculatus,Female
41,C6984,Uromys,caudimaculatus,Male
42,C7338,Rattus,norvegicus,Female
43,C7356,Notomys,cervinus,Female
44,C7570,Mesembriomys,gouldii,Female
45,C7571,Mesembriomys,gouldii,Male
46,C7574,Mesembriomys,gouldii,Female
47,C7833,Notomys,fuscus,Female
48,C7834,Notomys,fuscus,Female
49,C7835,Notomys,fuscus,Male
50,C7836,Notomys,fuscus,Male
51,C9081,Notomys,cervinus,Female
52,C9373,Notomys,fuscus,Female
53,DTC462,Melomys,capensis,Male
54,DTC464,Melomys,capensis,Male
55,DTC465,Melomys,capensis,Female
56,DTC466,Melomys,capensis,Male
57,J10052,Rattus,norvegicus,Male
58,J10055,Hydromys ,chrysogaster,Female
59,J10127,Hydromys ,chrysogaster,Male
60,J10136,Rattus,leucopus,Female
61,J10139,Rattus,leucopus,Male
62,J10197,Rattus,leucopus,Male
63,J10775,Notomys,fuscus,Male
64,J10822,Melomys,burtoni,Male
65,J10939,Rattus,fuscipes,Male
66,J10961,Rattus,rattus,Female
67,J11137,Hydromys ,chrysogaster,Male
68,J11226,Rattus,fuscipes,Female
69,J11439,Rattus,norvegicus,Female
70,J11512,Uromys,caudimaculatus,Male
71,J12292,Rattus,fuscipes,Female
72,J12672,Rattus,fuscipes,Female
73,J13566,Mus,musculus,
74,J14754,Notomys,alexis,Male
75,J14755,Leggadina,forresti,Male
76,J15330,Hydromys ,chrysogaster,Male
77,J16129,Mus,musculus,Male
78,J16141,Mus,musculus,
79,J16150,Mus,musculus,
80,J16172,Rattus,rattus,Male
81,J16464,Rattus,rattus,Female
82,J16683,Pseudomys,hermannbergensis,Male
83,J16824,Hydromys ,chrysogaster,Female
84,J16895,Rattus,tunneyi,Female
85,J16918,Rattus,lutreolus,Female
