Orig Order,Prefix,Reg Number,Suffix,Preceeding Numbers,Other Numbers,Date Catalogued,Catalogued by,Form of Object,Kind of Object,Family,Genus,Species,Subspecies,Type Status,ID Confidence,Identified by,Date Identified,ID Comments,ID Current,Date Collected,Origin Of Specimen,Age Of Material,Collector,Expedition Name,Site Code,Latitude (DMS),Latitude Dec,Longitude (DMS),Longitude Dec,Precision,Determination,Datum,Other Datum,Country,Province/State/Territory,Location,Nearest Named Place,Special Geographic Unit,Method Of Capture,Tissues Collected,ABTC Number,Preservative,Fixative,How Acquired,Acquisition Date,Name of Source,Current Location,Permanent Location,Mammal Age,Sex,Reproductive Condition,Weight,Weight Unit,Weight Age Comments,Head Length,Head/Body Length,Tail Length,Hindfoot Length,Ear/Notch Length,Forearm Length,Total Length,Measurement Unit,Habitat,Notes,Itemised Notes
7,M,392,,,,1914-06-04,,CW,PreservedSpecimen,Muridae,Conilurus,penicillatus,,,,,,,Yes,,,I,"Dodd, W D",,,11 35 00 S,-11.5833,131 10 00 E,131.1667,7 (within 5 degrees),,,,Australia,Northern Territory,,Melville Island,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,,,,,,,,,,,,,,,,
9,M,1794,,NBT 68,NBT 68,1922-09-28,,CW,PreservedSpecimen,Muridae,Conilurus,penicillatus,,,,,,,Yes,1922-03-,,I,"Tindale, Norman B",,,14 04 00 S,-14.0667,136 28 00 E,136.4667,4 (within 10 minutes),,,,Australia,Northern Territory,(on Emerald River),Yetibah,Groote Eylandt,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Male,,,,,,,,,,,,,Hill country of Groote Eylandt. Swimming in creek with 2 young,,
11,M,1796,,NBT 71,NBT 71,1922-09-28,,SC,PreservedSpecimen,Muridae,Conilurus,penicillatus,,,,,,,Yes,1921-12-,,I,"Tindale, Norman B",,,14 04 00 S,-14.0667,136 28 00 E,136.4667,4 (within 10 minutes),,,,Australia,Northern Territory,(on Emerald River),Yetibah,Groote Eylandt,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Male,,,,,,,,,,,,,Hill country of Groote Eylandt. Swimming in creek with 2 young,,
12,M,1797,,,,1922-09-28,,CW,PreservedSpecimen,Muridae,Conilurus,penicillatus,,,,,,,Yes,1922-03-,,I,"Tindale, Norman B",,,14 04 00 S,-14.0667,136 28 00 E,136.4667,4 (within 10 minutes),,,,Australia,Northern Territory,(on Emerald River),Yetibah,Groote Eylandt,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Male,,,,,,,,,,,,,Hill country of Groote Eylandt. Swimming in creek with 2 young,,
14,M,1799,,,,1922-09-28,,CW,PreservedSpecimen,Muridae,Conilurus,penicillatus,,,,,,,Yes,,,I,"Tindale, Norman B",,,14 04 00 S,-14.0667,136 28 00 E,136.4667,4 (within 10 minutes),,,,Australia,Northern Territory,(on Emerald River),Yetibah,Groote Eylandt,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Male,,,,,,,,,,,,,Hill country of Groote Eylandt. Swimming in creek with 2 young,,
15,M,1800,,,,1922-09-28,,CW,PreservedSpecimen,Muridae,Conilurus,penicillatus,,,,,,,Yes,,,I,"Tindale, Norman B",,,14 04 00 S,-14.0667,136 28 00 E,136.4667,4 (within 10 minutes),,,,Australia,Northern Territory,(on Emerald River),Yetibah,Groote Eylandt,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Female,,,,,,,,,,,,,Hill country of Groote Eylandt. Swimming in creek with 2 young,,
16,M,4071,,,,1936,,CW,PreservedSpecimen,Muridae,Conilurus,penicillatus,,,,,,,Yes,1913-08-14,,I,"Dodd, W D",,,11 35 00 S,-11.5833,131 10 00 E,131.1667,7 (within 5 degrees),,,,Australia,Northern Territory,,Melville Island,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Male,,,,,,,,,,,,,,,
17,M,4220,,,,1936,,CW,PreservedSpecimen,Muridae,Conilurus,penicillatus,,,1,Kemper,1988,,Yes,,,I,,,,,,,,,,,,,U,,NO DATA,,,,,,,,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Female,,,,,,,,,,,,,,,
18,M,6791,,,,1968-03-11,,CW,PreservedSpecimen,Muridae,Conilurus,penicillatus,,,1,Aitken,1963,,Yes,1963-06-,,I,"Aitken P.F.,Tindale N.B.",,,17 04 00 S,-17.0667,139 28 00 E,139.4667,4 (within 10 minutes),,,,Australia,Queensland,Rokoti,Bentinck Island,Bentinck Island,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,,,,,,,,,,
44,M,8360,,,,1971-03-01,,CW,PreservedSpecimen,Muridae,Leggadina,lakedownensis,,,1,Watts,1995,,Yes,1963-07-08,,I,"Aitken P.F.,Tindale N.B.",,,17 56 00 S,-17.9333,138 49 00 E,138.8167,4 (within 10 minutes),,,,Australia,Queensland,,Doomadgee Mission,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,,,,,,,,,notes about identification on file,
45,M,8361,,,,1971-03-01,,CW,PreservedSpecimen,Muridae,Leggadina,lakedownensis,,,1,Medlin,1995,,Yes,1963-07-08,,I,"Aitken P.F.,Tindale N.B.",,,17 56 00 S,-17.9333,138 49 00 E,138.8167,4 (within 10 minutes),,,,Australia,Queensland,,Doomadgee Mission,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,,,,,,,,,notes about identification on file,
49,M,2436,,,,1928,,C,PreservedSpecimen,Muridae,Leporillus,apicalis,,,1,Kemper,1986,,Yes,,,U,,,,,,,,,,,,,U,,NO DATA,,,,,,,D,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Female,,,,,,,,,,,,,,"Acquired from estate of E.R. Waite and previously assumed to be Horn Expedition material. However this specimen is not mentioned in the report of that expedition [G.P. Browning, 1985].",
