Taxon - Genus,Taxon - Species,CatNum,Locality Name,Field Coll Latitude from,Field Coll Longitude from,Field Coll Altitude from,Field Coll Date,Sex,Field Coll Habitat,Field Coll Specimen Category
Aethomys,namaquensis,JM6287,"Wilhelmstal 47km S, Okandukaseibe Farm 27",22° 45' South,16° East,,3-Nov-72,Female,,"Skull, Skin"
Anisomys,imitator,J6606,Mt Hagen,5° 45' South,144° 2' East,,,,,Skeletal parts
Conilurus,penicillatus,J3348,,,,,,Female,,"Skull, Skin"
Conilurus,penicillatus,J18083,Cobourg Peninsula,11° 20' South,132° 22' East,,,,,Skull
Conilurus,penicillatus,JM6475,Mitchell Plateau,15° 40' South,126° 24' East,,1981-1982,Female,,Spirit
Cricetomys,gambianus,JM2544,Amani,5° 9' South,38° 36' East,,10-Nov-61,Female,,Skin
Gerbilliscus,leucogaster,JM6286,"Equsiro W 100,35km N, 27km W Omaruru, Omaruru Dist",21° South,15° 40' East,,9-Jan-75,,,"Skull, Skin"
Gerbilliscus,robustus,JM6311,"Kamuani area, Kalama Loc Machakos district",1° 32' South,27° 16' East,,9-Oct-72,Male,,"Skull, Skin"
Gerbillurus,paeba,JM6285,"Naob 69, 16km S, 7km W Usakos, Karibib district",23° 15' South,15° 15' East,,14-Jan-75,Female,,"Skull, Skin"
Gerbillus,dasyurus,JM1036,Sede Boger,30° 53' North,34° 47' East,,23-Oct-74,Female,,"Skull, Skin"
Gerbillus,gerbillus,JM1037,"Gebel-libni, Sinai",30° 44' North,33° 50' East,,22-Nov-67,Male,,"Skull, Skin"
Gerbillus,nanus,JM1034,Moshav Hazeva,30° 49' North,35° 15' East,,25-Apr-74,Female,,"Skull, Skin"
Gerbillus,pyramidum,JM1035,"Baluza, 4km W",,,,4-Dec-73,Female,,"Skull, Skin"
Hydromys,,JM9861,"Keelbottom Ck, crossing, Dottswood Hs, Site A",19° 48' South,146° 6' East,,Mar-91,,,Spirit
Hydromys,chrysogaster,J1139,"Brisbane, Fortitude Valley, Museum garden",27° 28' South,153° 2' East,,,,,
Hydromys,chrysogaster,J1492,Bundaberg,24° 52' South,152° 21' East,,,,,
Hydromys,chrysogaster,J1756,,,,,,,,Spirit
Hydromys,chrysogaster,J1858,Samford,27° 22' South,152° 53' East,,,,,
Hydromys,chrysogaster,J1867,Brisbane,27° 28' South,153° 1' East,,,,,
Hydromys,chrysogaster,J2699,Mt Tamborine,27° 55' South,153° 10' East,,,,,
Hydromys,chrysogaster,J2751,Brisbane,27° 28' South,153° 1' East,,,,,Spirit
Hydromys,chrysogaster,J2752,Brisbane,27° 28' South,153° 1' East,,,,,Spirit
Hydromys,chrysogaster,J3070,"Mulgildie Pta, via Eidsvold",24° 58' South,151° 7' East,,,,,
Hydromys,chrysogaster,J3184,"Leigh Holme, Clermont",22° 50' South,147° 38' East,,,,,Spirit
Hydromys,chrysogaster,J3198,Bundaberg,24° 52' South,152° 21' East,,,,,
Hydromys,chrysogaster,J3317,Bundaberg,24° 52' South,152° 21' East,,,,,Skull
Hydromys,chrysogaster,J3350,Perth,31° 57' South,115° 51' East,,,,,"Skull, Skin"
Hydromys,chrysogaster,J3520,Brisbane,27° 28' South,153° 1' East,,,,,Spirit
Hydromys,chrysogaster,J3627,Dunk Is,17° 57' South,146° 9' East,,,,,"Spirit, Skull"
