Reg,RegNum,Scientific Name,Species Common Name,Sex,Collection Locality,Date Collected,Collector,Specimen Notes,Notes,Specimen Form,Specimen Part,Current Location,Age,Stage,Total Length,Hindfoot Length,Ear Length,Unit,Weight,Unit of Weight
C,31142,Liomys irroratus  alleni,Mexican Spiny Pocket Mouse,Female,"Mexico, Tamaulipas",,Unknown,,Exchange,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 7 - LEVEL A -  Cabinet (L1103100) -  Drawer (L1089031),,,,,,mm,,grams
C,31140,Liomys irroratus  alleni,Mexican Spiny Pocket Mouse,Female,"Mexico, Tamaulipas",,Unknown,,Exchange,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 7 - LEVEL A -  Cabinet (L1103100) -  Drawer (L1089031),,,,,,mm,,grams
C,4296,Rattus fuscipes  assimilis,Australian Bush Rat,Unknown,"Australia, New South Wales, 8 km SW of Pericoe (37 09 S, 149 32 E)",03/04/1962,"Coventry, A John - Museum Victoria",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 2 - LEVEL A -  Cabinet (L1239735) -  Drawer (L1088993),,,240,33.1,20.2,mm,40,grams
C,3958,Rattus fuscipes  assimilis,Australian Bush Rat,Unknown,"Australia, New South Wales, 8 km south of Pericoe (37 09 S, 149 32 E)",03/04/1962,"Coventry, A John - Museum Victoria
Ryan, R M",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 2 - LEVEL A -  Cabinet (L1239735) -  Drawer (L1088994),,,,34,21.3,mm,90,grams
C,3955,Rattus fuscipes  assimilis,Australian Bush Rat,Female,"Australia, New South Wales, 8 km south of Pericoe (37 09 S, 149 32 E)",03/04/1962,"Coventry, A John - Museum Victoria
Ryan, R M",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 2 - LEVEL A -  Cabinet (L1239735) -  Drawer (L1088994),,,,32.9,20.4,mm,50,grams
C,4294,Rattus fuscipes  assimilis,Australian Bush Rat,Unknown,"Australia, New South Wales, 8 km SW of Pericoe (37 09 S, 149 32 E)",03/04/1962,"Coventry, A John - Museum Victoria",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 2 - LEVEL A -  Cabinet (L1239735) -  Drawer (L1088993),,,,33.2,21,mm,65,grams
C,14116,Rattus fuscipes  assimilis,Australian Bush Rat,Female,"Australia, Victoria, Corringal beach (37 45 S, 148 25 E)",19/04/1972,"Seebeck, J H",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 2 - LEVEL A -  Cabinet (L1239735) -  Drawer (L1089046),,,319,31,27,mm,84,grams
C,14046,Rattus fuscipes  assimilis,Australian Bush Rat,Male,"Australia, Victoria, Coast track west of Mallacoota (37 35 S, 149 35 E)",13/02/1969,"Seebeck, J H",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 2 - LEVEL A -  Cabinet (L1239735) -  Drawer (L1089046),,,,,,mm,,grams
C,20902,Rattus fuscipes  assimilis,Australian Bush Rat,Female,"Australia, Victoria, Porepunkah (36 42 S, 146 55 E)",05/11/1968,Unknown,,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 2 - LEVEL A -  Cabinet (L1239735) -  Drawer (L1103265),,,337,34,27,mm,123,grams
C,20900,Rattus fuscipes  assimilis,Australian Bush Rat,Male,"Australia, Victoria, Porepunkah (36 42 S, 146 55 E)",05/11/1968,Fisheries and Wildlife,,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 2 - LEVEL A -  Cabinet (L1239735) -  Drawer (L1103265),,,349,34,26,mm,148,grams
