RegNum,'Form','Genus','Species','Country','State','Precise Location','Latitude','Longitude','Date Collected','Date Registered',Sex,Age
A.18718,Skin and skull,Mus,musculus,Australia,New South Wales,Moolah,"32° 39' "" S","144° 59' "" E",,,,
A.18721,Skin and skull,Mus,,Australia,New South Wales,Moolah,"32° 39' "" S","144° 59' "" E",,,,
A.2436,Dry,Rattus,rattus,Australia,New South Wales,"North Shore, Sydney","33° 48' "" S","151° 06' "" E",,,,
A.2436.001,Dry,Rattus,rattus,Australia,New South Wales,"North Shore, Sydney","33° 48' "" S","151° 06' "" E",,10/25/10,,
A.3297,Dry,Rattus,rattus,Australia,New South Wales,"Botanic Gardens, Sydney","33° 53' "" S","151° 13' "" E",,,,
A.3298,Dry,Rattus,rattus,Australia,New South Wales,"Botanic Gardens, Sydney","33° 53' "" S","151° 13' "" E",,,,
A.9731,Skull in Skin,Hydromys,chrysogaster,Australia,Queensland,Darling Downs,"27° 11' "" S","151° 15' "" E",,,,
A.9732,Skull in Skin,Hydromys,chrysogaster,Australia,Queensland,Darling Downs,"27° 11' "" S","151° 15' "" E",,,,Juvenile
A.9733,"skull, skin",Rattus,lutreolus,Australia,Queensland,Darling Downs,"27° 11' "" S","151° 15' "" E",,,,
B.4153,Dry,Pseudomys,higginsi,Australia,Tasmania,Macquarie Harbour,"42° 11' 16"" S","145° 21' 55"" E",,,,
M.10003,SKIN SKULL,Notomys,alexis,Australia,,Ex captive,,,10/21/74,,Female,Adult
M.10004,SKIN SKULL,Notomys,alexis,Australia,,Ex captive,,,10/21/74,,Female,Adult
M.10005,SKIN SKULL,Notomys,alexis,Australia,,Ex captive,,,10/21/74,,Male,Adult
M.10006,SKIN SKULL,Notomys,alexis,Australia,,Ex captive,,,10/21/74,,Male,Adult
M.10007,Skin & skull,Pseudomys,australis,Australia,,Ex captive (Taronga Zoo),,,10/21/74,,Female,Adult
M.10008,Dry,Pseudomys,australis,Australia,,Ex captive,,,10/21/74,,Female,Adult
M.10009,Dry,Pseudomys,australis,Australia,,Ex captive,,,10/21/74,,Male,Adult
M.10010,skin skull,Pseudomys,australis,Australia,,Ex captive (Taronga Zoo),,,10/21/74,,Male,Adult
M.10045,Skull,Xeromys,myoides,Australia,Northern Territory,TOMKINSON R 70.5 KM UPSTREAM,"12° 13' "" S","134° 16' "" E",7/25/75,,,
M.10172,Dry,Melomys,burtoni,Australia,Northern Territory,GOVE PENINSULA,"12° 15' "" S","136° 50' "" E",7/17/74,,Male,Adult
M.10173,Dry,Melomys,burtoni,Australia,Northern Territory,GOVE PENINSULA,"12° 15' "" S","136° 50' "" E",7/17/74,,Male,Adult
