Name,Hyd_chr2,Leg_for2,Pse_gra2,Zyz_arg,Xer_myo,Uro_cau,Rat_rat,Rat_fus,Pog_mol,Not_ale,Mus_mus,Mes_gou,Mel_bur,Mas_fus,Lep_con,Leg_for,Pse_her,Pse_gra,Pse_del,Hyd_chr
X Zygo ant edge top DCUR L 4,2.031496239,2.674649239,-5.918720627,-14.45294495,10.98983994,-5.830643082,-2.646146011,5.603619385,-7.068386078,3.259043503,-9.178007507,1.53997736,0.222758269,-8.631689453,10.28047943,2.655836487,-6.140473938,-6.140473938,-3.655521393,0.863979053
Y Zygo ant edge top DCUR L 4,-2.352731705,-10.65149155,-9.594236755,-10.5957016,-8.799271393,-25.6296051,-3.34093399,-11.66593552,-11.20737,-8.139360046,-0.732044315,-23.3448349,-8.572534943,-4.713919449,-5.679178619,-10.689785,-9.559693909,-9.559693909,-15.35656891,-2.018948364
Z Zygo ant edge top DCUR L 4,-31.07583618,-30.36974792,-34.10553894,-34.09862061,-27.09162903,-40.98063049,-29.0521637,-23.54881897,-28.48235779,-34.70331726,-29.92120361,-26.5250885,-22.2827774,-29.03686829,-36.39499512,-30.33757019,-33.92236938,-33.92236938,-19.03033752,-32.42503357
X Zygo ant edge top DCUR L 3,1.696245003,2.941065216,-6.992237854,-14.84090424,11.02081223,-7.185386658,-3.658205795,5.938723755,-7.289118195,3.550863647,-9.608822632,3.524084854,-0.462248516,-7.335077667,9.340419006,2.941007233,-7.153733063,-7.153733063,-4.190646362,0.785844088
Y Zygo ant edge top DCUR L 3,-2.586417961,-10.37570038,-9.471540833,-11.10210037,-8.699046326,-25.18672485,-3.453878784,-10.9113533,-11.7510994,-7.697803497,-0.845361519,-24.82232361,-8.484384918,-4.796785736,-4.886193085,-10.45520248,-9.401905823,-9.401905823,-15.33209686,-2.030401993
Z Zygo ant edge top DCUR L 3,-31.98231201,-30.88896484,-34.60949707,-33.65430298,-27.7587738,-41.09139099,-29.8006073,-24.28848419,-28.25694275,-35.05776672,-30.13364868,-27.14837341,-22.57333527,-29.68240662,-37.38680725,-30.89909058,-34.1855011,-34.1855011,-19.02770996,-32.81087341
X Zygo ant edge top DCUR L 2,1.113823509,3.313000107,-8.290892029,-15.43943024,11.01012039,-8.715823364,-4.896422577,6.644541931,-7.670310211,4.063689423,-10.27788239,6.109021378,-1.278797054,-6.198077011,8.540477753,3.367726898,-8.320250702,-8.320250702,-4.842232513,0.576224279
Y Zygo ant edge top DCUR L 2,-2.448831558,-10.00580139,-8.776050568,-11.58371582,-8.493830872,-24.71732788,-2.760083389,-9.98887558,-12.34633636,-7.380789948,-0.782777691,-25.85698242,-8.072574615,-4.914712906,-3.745503235,-9.988943481,-8.896178436,-8.896178436,-15.01039734,-1.916124916
Z Zygo ant edge top DCUR L 2,-33.12445068,-31.20486755,-34.84006653,-33.08620605,-28.3072937,-41.09248962,-30.00569763,-24.7907074,-27.93300171,-35.07347717,-30.28061218,-26.5288208,-22.79385529,-30.68098145,-38.00087585,-31.21077576,-34.37213745,-34.37213745,-19.07443542,-33.38131409
X Zygo ant edge top DCUR L 1,0.51219697,3.83889122,-9.48675766,-16.0223587,10.82500992,-9.717811584,-5.434767532,7.437624359,-8.171698761,4.708784866,-10.86109009,8.624485016,-1.926254272,-5.337577438,7.81598053,3.788444138,-9.302252197,-9.302252197,-5.27408371,0.188055563
Y Zygo ant edge top DCUR L 1,-1.898244095,-9.369389343,-8.042175293,-11.80967712,-7.117023468,-24.07111511,-1.946671867,-9.34005127,-12.81450806,-7.007815552,-0.606220913,-25.97173767,-7.652142334,-5.028833771,-2.442883301,-9.380294037,-8.280756378,-8.280756378,-14.61410675,-1.487889194
